absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
85,5,"['nobannowall', 'muslimban', 'student', 'iranian', 'letthemin', 'support', 'standuptotrump']",77,6,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'pressure', 'weak', 'iranian', 'letthemin', 'plz', 'york']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[2265661259, 2603032396, 2650905729]"
86,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",78,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[172028905, 326788733, 618055731, 3235220435]"
87,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",79,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[3093553831, 3381540185, 4869201105, 721791807538012161, 734346147767148544, 771218637269049345, 792889476859174913, 817216481465405442]"
88,6,"['resist', 'muslimban', 'trumpleak', 'theresistance', 'trump', 'impeachtrump', 'resistance', 'nobannowall', 'stopsession', 'nodapl', 'break', 'stopdevos', 'company']",80,11,"['trump', 'ban', 'resist', 'muslimban', 'immigration', 'trumpleak', 'travel', 'theresistance', 'trumps', 'order', 'nobannowall', 'impeachtrump', 'president', 'resistance', 'stopsession', 'muslim']",9,"['muslimban', 'resist', 'trumpleak', 'theresistance', 'trump', 'impeachtrump', 'resistance', 'nobannowall', 'resistance_theresistance', 'nodapl', 'break', 'session']",8,"['trump', 'resist', 'trumpleak', 'muslimban', 'ban', 'immigration', 'resistance_theresistance', 'travel', 'theresistance', 'impeachtrump', 'trumps', 'resistance', 'nobannowall', 'order', 'president', 'stopsession', 'nodapl', 'stopdevos']","[85881268, 1665491648, 751283435382067200, 751283435382067202]"
89,14,"['muslim', 'ban', 'seek', 'america', 'country']",81,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[924027536, 2182901462, 2716396878, 4158185058, 770969328682434560, 796831328893222912]"
90,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",82,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",6,"['ban', 'travel', 'trump', 'trumps', 'immigration', 'president', 'order', 'executive_order', 'sally_yate', 'attorney_general', 'protest']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[16042794, 21374516, 1499091486]"
91,5,"['nobannowall', 'muslimban', 'student', 'iranian', 'letthemin', 'support', 'standuptotrump']",83,6,"['muslimban', 'nobannowall', 'studentban', 'notbanstudentvisa', 'student', 'pressure', 'weak', 'iranian', 'letthemin', 'plz', 'york']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",12,"['nobannowall', 'muslimban', 'studentban', 'notbanstudentvisa', 'worth_worldwide', 'iranian_student', 'student', 'notbanstudentvisa_studentban', 'studentban_notbanstudentvisa', 'letthemin_respect', 'beautiful_mind', 'studentban_plz', 'letthemin', 'march_york', 'notaterrorist_studentban', 'plz']","[255768621, 395438205, 452088908, 2158531212, 2269555050, 2374323116, 2982621783, 707125355602022400, 744522989731995648]"
92,1,"['ban', 'trump', 'immigration', 'travel', 'trumps', 'donald', 'order', 'president', 'fire', 'muslim', 'state', 'general', 'attorney', 'defend', 'official']",84,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",12,"['ban', 'donald', 'trump', 'trumps', 'immigration', 'stock', 'travel', 'fire', 'dissent_memo', 'fire_attorney', 'muslim']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[19424427, 2366034324, 701866563268378626]"
93,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",106,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[27453762, 32189132, 904519579]"
94,3,"['muslimban', 'muslim', 'trump', 'ban', 'heartland', 'refuge', 'people', 'refugee', 'america', 'order', 'protest', 'vote', 'country']",97,14,"['ban', 'muslimban', 'muslim', 'trump', 'travel', 'trumps', 'immigration', 'order', 'refugee', 'support', 'country', 'people']",3,"['muslim', 'america_heartland', 'ban', 'america', 'muslimban', 'trump', 'seek', 'heartland', 'refuge', 'seek_refuge', 'nobannowall', 'seek_refuge_america_heartland', 'people', 'refugee', 'executive_order', 'student']",14,"['ban', 'trump', 'muslimban', 'immigration', 'muslim', 'trumps', 'travel', 'order', 'executive_order', 'protest', 'president']","[28458650, 45573874, 245424983, 1385927946, 2174771983]"
