absolute_community,absolute_unigram_topic,absolute_unigram_keywords,weighted_community,weighted_unigram_topic,weighted_unigram_keywords,absolute_bigram_topic,absolute_bigram_keywords,weighted_bigram_topic,weighted_bigram_keywords,members
82,11,"['nobannowall', 'muslimban', 'nomuslimban', 'immigrants', 'leftist', 'muslim', 'litigation', 'purge', 'immigration', 'heretostay']",83,13,"['heretostay', 'nobannowall', 'uslatino', 'tntweeter', 'notmore', 'immigration', 'uniteblue', 'inmigracion', 'latism', 'niunomas', 'entire', 'freedaniel']",1,"['immigration', 'travelban', 'refugee', 'tntweeter_uslatino', 'immigration_inmigracion', 'nobannowall', 'nobannowallnoraid_noban', 'sign_petition', 'immigrant']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[24645871, 358005482, 1511154877, 1939212224, 2282990761, 2296218770, 2321479686, 2322972280, 2331266245, 2334894821, 2347832648, 2351157576, 2383802631, 2864321805, 2994390921]"
83,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",84,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[754021502375395300, 754021502375395328, 761455354278535200]"
84,3,"['muslimban', 'muslim', 'ban', 'travelban', 'maga', 'trump', 'country', 'travel', 'judge', 'offend', 'leave', 'obama', 'america']",85,3,"['muslimban', 'nobannowall', 'live', 'true']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",9,"['muslimban', 'nobannowall', 'immigration', 'tntweeter_uslatino']","[382219862, 4663571046, 742746435955875840, 747915502589087700, 785916389529821185]"
85,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",104,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[12137172, 17070252, 20758263, 22284908, 26266511, 32636643, 52392666, 77802639, 188965758, 758189028, 921460356, 950976000, 2876378805, 2951577298, 3160410565, 701128692622229504, 732175413850464256, 776839703832035328, 803023384263139328]"
86,6,"['ban', 'muslim', 'muslimban', 'trump', 'court', 'aclu']",86,3,"['muslimban', 'nobannowall', 'live', 'true']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",4,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[60495273, 796820778104881200, 808322443047825409]"
87,3,"['muslimban', 'muslim', 'ban', 'travelban', 'maga', 'trump', 'country', 'travel', 'judge', 'offend', 'leave', 'obama', 'america']",87,3,"['muslimban', 'nobannowall', 'live', 'true']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[19782902, 189042188, 2543934432, 2838359254, 3117374427, 786271733741330432]"
89,1,"['reminder', 'muslimban', 'wall', 'time', 'great', 'stay', 'muslims', 'mondaymotivation', 'not']",88,4,"['travelban', 'refugee', 'immigration', 'refugeeswelcome', 'immigrant', 'muslimban', 'nobannowallnoraid', 'great', 'resisttrump', 'mondaymotivation', 'nobannowall', 'woman', 'resist']",7,"['muslimban', 'trump', 'radio_live', 'resist', 'stock_money', 'theresistance', 'trumprussia']",4,"['muslimban', 'trump', 'trumprussia', 'resist', 'ban', 'russiagate', 'theresistance', 'muslim', 'travel', 'april_speech', 'break', 'trumps', 'todays_hashtag', 'april']","[277817081, 596447623, 4029747432, 780090518252445700, 799095285721010176, 831964050560921600]"
90,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",89,3,"['muslimban', 'nobannowall', 'live', 'true']",11,"['refugeeswelcome', 'travelban', 'maga', 'muslimban', 'tcot', 'pvv', 'islam', 'stopislamofobia', 'bordersclose']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[375862615, 706595417975365600, 822473563768782853]"
91,14,"['rte', 'enda', 'support', 'bbc', 'scum', 'fuck', 'civilization', 'propaganda', 'visit', 'eve', 'western', 'judgesth']",91,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",12,"['muslimban', 'main_reason', 'visit', 'islam', 'total', 'ben_carson', 'trump', 'attack', 'rte', 'iranian', 'people', 'child', 'nation']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[2885643969, 695739596500557800, 695739596500557825]"
92,8,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'trumps', 'block', 'president', 'immigration']",92,1,"['ban', 'travel', 'trump', 'order', 'judge', 'revise', 'hawaii', 'president', 'trumps', 'block']",4,"['ban', 'travel', 'trump', 'executive_order', 'order', 'revise', 'judge', 'federal_judge', 'trumps', 'president', 'hawaii', 'block', 'executive']",12,"['ban', 'travel', 'trump', 'executive_order', 'order', 'judge', 'revise', 'federal_judge', 'hawaii', 'president', 'trumps', 'muslim', 'block', 'immigration']","[18086309, 26453924, 781534268, 847545582, 4780784385, 824773862512533504, 828038191974346800]"
