month,absolute,weighted,jaccard_score
february,7,171,0.006329113924050633
february,7,232,0.02883799830364716
february,7,243,0.002702702702702703
february,8,4,0.1740024681201152
february,8,9,0.0019646365422396855
february,8,12,0.008528784648187633
february,8,30,0.006622516556291391
february,8,35,0.01282051282051282
february,8,38,0.01072961373390558
february,8,77,0.0017857142857142857
february,8,103,0.0030721966205837174
february,8,120,0.0024775472282440383
february,8,139,0.016129032258064516
february,8,171,0.002074688796680498
february,9,14,0.040106951871657755
february,9,19,0.6020671834625323
february,9,31,0.008021390374331552
february,9,51,0.01904761904761905
february,9,54,0.15625
february,9,60,0.038461538461538464
february,9,134,0.002098635886673662
february,9,152,0.002320185614849188
february,9,222,0.012468827930174564
february,11,5,0.0029154518950437317
february,11,19,0.0045045045045045045
february,11,51,0.003952569169960474
february,11,54,0.002036659877800407
february,11,60,0.09195402298850575
february,11,79,0.7632850241545893
february,11,243,0.06372549019607843
february,12,134,0.013266998341625208
february,12,222,0.55
february,13,2,0.08695652173913043
february,13,5,0.00390625
february,13,78,0.4421768707482993
february,13,205,0.32456140350877194
february,14,4,0.0025
february,14,37,0.35294117647058826
february,15,25,0.09859154929577464
february,15,103,0.2403846153846154
february,15,140,0.12962962962962962
february,16,4,0.001549186676994578
february,16,5,0.002932551319648094
february,16,15,0.04040404040404041
february,16,30,0.3877551020408163
february,16,77,0.3257918552036199
february,16,103,0.0026041666666666665
february,16,171,0.014150943396226415
february,16,203,0.03535353535353535
february,16,232,0.022727272727272728
february,19,24,0.45454545454545453
february,19,134,0.0014992503748125937
february,19,152,0.43564356435643564
february,19,222,0.017094017094017096
february,20,0,0.007547169811320755
february,20,4,0.00037778617302606723
february,20,13,0.026923076923076925
february,20,42,0.11068702290076336
february,20,49,0.0037593984962406013
february,20,77,0.0056657223796034
february,20,103,0.009029345372460496
february,20,120,0.07178217821782178
february,20,139,0.005571030640668524
february,20,175,0.007142857142857143
february,20,205,0.003367003367003367
february,21,4,0.0009124087591240876
february,21,5,0.006730769230769231
february,21,10,0.009966777408637873
february,21,19,0.00877963125548727
february,21,24,0.0010604453870625664
february,21,51,0.03347732181425486
february,21,54,0.20100502512562815
february,21,60,0.046610169491525424
february,21,78,0.01314459049544995
february,21,79,0.006597549481621112
february,21,95,0.005537098560354375
february,21,96,0.001098901098901099
february,21,110,0.006644518272425249
february,21,115,0.0033222591362126247
february,21,134,0.5687103594080338
february,21,152,0.013713080168776372
february,21,222,0.003218884120171674
february,21,243,0.001088139281828074
february,25,71,0.9714285714285714
february,26,120,0.0010826416456153013
february,27,175,0.18181818181818182
february,28,51,0.18518518518518517
february,32,4,0.0028665028665028664
february,32,18,0.3968253968253968
february,32,86,0.16853932584269662
february,32,232,0.08536585365853659
february,33,9,0.0078125
february,33,103,0.37373737373737376
february,33,242,0.11764705882352941
february,36,86,0.18604651162790697
february,37,120,0.0021652832912306026
february,38,120,0.0021652832912306026
february,41,4,0.018844221105527637
february,45,85,0.15789473684210525
february,47,4,0.001256281407035176
february,55,59,0.75
february,57,120,0.0010826416456153013
february,61,52,0.8571428571428571
february,64,67,0.9883720930232558
february,67,8,0.625
february,70,4,0.0028135048231511255
february,70,73,0.17592592592592593
february,70,120,0.01768033946251768
february,70,139,0.1751412429378531
february,82,89,0.8
february,84,9,0.8478260869565217
february,84,86,0.024390243902439025
february,91,96,0.875
